id;title;slug;html;created_at;updated_at;published_at;status;visibility
1;when sandbag;appoint;../fake-data/blob/hipster.txt;2023-12-08T19:00:14;2023-12-08T11:42:20;2023-12-09T01:29:00;UNAPPROVED;PUBLIC
2;expensive chief technologist;vainly;../fake-data/blob/hipster.txt;2023-12-08T18:15:30;2023-12-09T01:28:45;2023-12-08T06:27:19;DRAFT;PUBLIC
3;uselessly provided;before locate instead;../fake-data/blob/hipster.txt;2023-12-08T23:08:00;2023-12-08T10:18:10;2023-12-08T18:11:54;PUBLISHED;PUBLIC
4;supposing ha flatter;harass off;../fake-data/blob/hipster.txt;2023-12-08T22:48:03;2023-12-09T04:27:27;2023-12-08T11:36:47;PUBLISHED;PUBLIC
5;ornate;helpfully;../fake-data/blob/hipster.txt;2023-12-08T08:12:25;2023-12-08T16:18:25;2023-12-08T08:28:16;APPROVED;PUBLIC
6;duh gifted;close aw;../fake-data/blob/hipster.txt;2023-12-08T11:55:54;2023-12-09T00:34:45;2023-12-08T09:58:30;DRAFT;PUBLIC
7;jiffy hence;even though;../fake-data/blob/hipster.txt;2023-12-09T01:06:47;2023-12-08T17:49:29;2023-12-08T18:39:43;DRAFT;PUBLIC
8;retail shakily generally;bode;../fake-data/blob/hipster.txt;2023-12-08T09:26:56;2023-12-08T13:03:53;2023-12-08T16:52:29;UNAPPROVED;PRIVATE
9;worn duh atop;boohoo rationalize;../fake-data/blob/hipster.txt;2023-12-09T05:44:43;2023-12-09T02:53:33;2023-12-08T21:13:04;UNAPPROVED;PRIVATE
10;at worriedly;equal landscape;../fake-data/blob/hipster.txt;2023-12-08T15:50:51;2023-12-09T02:47:11;2023-12-08T10:10:23;DRAFT;PRIVATE
