id;title;slug;html;created_at;updated_at;published_at;status;visibility
1;hungrily whereas;consequently;../fake-data/blob/hipster.txt;2023-12-08T06:37:45;2023-12-09T00:44:49;2023-12-08T16:27:58;APPROVED;PRIVATE
2;archer sponsorship even;smoothly ill-fated;../fake-data/blob/hipster.txt;2023-12-08T09:21:33;2023-12-09T04:24:15;2023-12-08T21:57:42;APPROVED;PRIVATE
3;backspace whereas how;standardization;../fake-data/blob/hipster.txt;2023-12-08T18:56:39;2023-12-08T07:25:44;2023-12-08T08:28:04;APPROVED;PUBLIC
4;atop once;excluding launder front;../fake-data/blob/hipster.txt;2023-12-09T04:35:15;2023-12-08T11:53:32;2023-12-08T22:01:41;PUBLISHED;PUBLIC
5;easily sick sedately;overconfidently mmm pleasure;../fake-data/blob/hipster.txt;2023-12-08T13:04:30;2023-12-09T03:15:08;2023-12-08T14:55:16;APPROVED;PUBLIC
6;continuity;underneath strictly forenenst;../fake-data/blob/hipster.txt;2023-12-08T18:58:56;2023-12-08T06:42:26;2023-12-08T09:30:47;APPROVED;PRIVATE
7;fishtail impede dye;towards;../fake-data/blob/hipster.txt;2023-12-08T17:52:43;2023-12-08T13:09:09;2023-12-08T19:12:08;PUBLISHED;PRIVATE
8;collision ashamed;profuse ew;../fake-data/blob/hipster.txt;2023-12-08T23:12:31;2023-12-08T14:12:35;2023-12-08T09:36:08;APPROVED;PUBLIC
9;likewise accurate;ew this whenever;../fake-data/blob/hipster.txt;2023-12-08T23:55:00;2023-12-08T08:03:15;2023-12-09T00:05:58;APPROVED;PUBLIC
10;clipboard;buckle confidentiality;../fake-data/blob/hipster.txt;2023-12-08T19:36:55;2023-12-08T18:03:56;2023-12-08T23:49:08;UNAPPROVED;PUBLIC
